index,column1,column2
0.6863209127669193,0.3501559913189255,0.40535708337909326
0.5288441269744508,0.34783841226115,0.4514969484816641
0.8370975031584186,0.7290033052240485,0.7741406748193606
0.46942503845144523,0.7924165807491358,0.40248783098843677
0.24163613824644858,0.052762055207816516,0.3310077537649794
0.953574501458753,0.5670067388846207,0.6685121046685059
0.7453528286163236,0.5940445416103008,0.47917267217348447
0.11267489550225251,0.35713160183340964,0.47724295808239015
0.20625452575816894,0.9568704546387929,0.891056262657786
0.1249573924221149,0.7933281206807733,0.6384716214314502
